x,cf,cp
6.867339015E-01, 6.015386432E-03,  -5.187699795E-01
6.904208660E-01, 6.056163926E-03,  -5.345500112E-01
6.941135526E-01, 6.092414260E-03,  -5.497400165E-01
6.978118420E-01, 6.123442203E-03,  -5.643299818E-01
7.015154362E-01, 6.149026100E-03,  -5.781400204E-01
7.052240968E-01, 6.169483997E-03,  -5.911499858E-01
7.089375854E-01, 6.184722763E-03,  -6.033800244E-01
7.126555443E-01, 6.194327027E-03,  -6.147199869E-01
7.163776159E-01, 6.198107265E-03,  -6.251299977E-01
7.201035023E-01, 6.195988506E-03,  -6.345599890E-01
7.238328457E-01, 6.187506486E-03,  -6.429899931E-01
7.275652289E-01, 6.172176450E-03,  -6.503400207E-01
7.313002348E-01, 6.150345784E-03,  -6.564800143E-01
7.350375056E-01, 6.122629624E-03,  -6.614900231E-01
7.387765050E-01, 6.088923663E-03,  -6.653599739E-01
7.425169349E-01, 6.049095187E-03,  -6.680499911E-01
7.462582588E-01, 6.003196351E-03,  -6.695200205E-01
7.500000000E-01, 5.950621795E-03,  -6.698700190E-01
7.537417412E-01, 5.891417153E-03,  -6.688899994E-01
7.574830651E-01, 5.826815031E-03,  -6.666200161E-01
7.612234950E-01, 5.757292267E-03,  -6.632500291E-01
7.649624944E-01, 5.682552233E-03,  -6.586999893E-01
7.686997652E-01, 5.602481309E-03,  -6.529899836E-01
7.724347711E-01, 5.516741425E-03,  -6.462000012E-01
7.761671543E-01, 5.425207317E-03,  -6.383000016E-01
7.798964977E-01, 5.328758154E-03,  -6.292700171E-01
7.836223841E-01, 5.228389520E-03,  -6.192499995E-01
7.873444557E-01, 5.124432035E-03,  -6.083199978E-01
7.910624146E-01, 5.017054733E-03,  -5.964800119E-01
7.947759032E-01, 4.906722344E-03,  -5.838199854E-01
7.984845638E-01, 4.793831147E-03,  -5.703600049E-01
8.021881580E-01, 4.678450059E-03,  -5.562300086E-01
8.058864474E-01, 4.560970701E-03,  -5.413900018E-01
8.095791340E-01, 4.442229867E-03,  -5.259100199E-01
8.132660985E-01, 4.322684836E-03,  -5.099400282E-01
8.169470429E-01, 4.202428740E-03,  -4.934999943E-01
8.206219077E-01, 4.081804771E-03,  -4.766699970E-01
8.242905140E-01, 3.961320966E-03,  -4.594900012E-01
8.279526830E-01, 3.841384081E-03,  -4.420300126E-01
8.316084146E-01, 3.722312395E-03,  -4.243499935E-01
8.352575898E-01, 3.604386235E-03,  -4.065000117E-01
8.389002085E-01, 3.487867070E-03,  -3.885399997E-01
8.425360918E-01, 3.372997744E-03,  -3.705300093E-01
8.461654186E-01, 3.260004101E-03,  -3.524999917E-01
8.497880697E-01, 3.149099415E-03,  -3.345200121E-01
8.534040451E-01, 3.040479496E-03,  -3.166199923E-01
8.570134640E-01, 2.934321761E-03,  -2.988399863E-01
8.606162667E-01, 2.830790589E-03,  -2.812300026E-01
8.642125726E-01, 2.730037551E-03,  -2.638199925E-01
8.678025007E-01, 2.632199787E-03,  -2.466499954E-01
8.713859916E-01, 2.537400695E-03,  -2.297299951E-01
8.749632239E-01, 2.445753664E-03,  -2.131099999E-01
8.785342574E-01, 2.357379999E-03,  -1.967999935E-01
8.820991516E-01, 2.272470854E-03,  -1.808300018E-01
8.856580257E-01, 2.191404114E-03,  -1.652200073E-01
8.892109394E-01, 2.114925999E-03,  -1.499699950E-01
8.927580714E-01, 2.043634187E-03,  -1.351200044E-01
8.962994814E-01, 1.973637380E-03,  -1.206599995E-01
8.998351693E-01, 1.900275704E-03,  -1.066000015E-01
9.033653736E-01, 1.829955145E-03,  -9.295900166E-02
9.068900347E-01, 1.769875060E-03,  -7.973500341E-02
9.104093313E-01, 1.716092811E-03,  -6.693200022E-02
9.139232635E-01, 1.664484385E-03,  -5.455200002E-02
9.174320102E-01, 1.615406713E-03,  -4.259299859E-02
9.209355116E-01, 1.569373184E-03,  -3.105000034E-02
9.244338870E-01, 1.526539912E-03,  -1.993099973E-02
9.279271364E-01, 1.486900379E-03,  -9.225900285E-03
9.314152598E-01, 1.450372860E-03,  1.073700027E-03
9.348984361E-01, 1.416865620E-03,  1.096799970E-02
9.383764863E-01, 1.386269811E-03,  2.047199942E-02
9.418495297E-01, 1.358530601E-03,  2.958299965E-02
9.453175068E-01, 1.333590830E-03,  3.832399845E-02
9.487804770E-01, 1.311298343E-03,  4.668899998E-02
9.522383213E-01, 1.291525667E-03,  5.467899889E-02
9.556910396E-01, 1.274162903E-03,  6.231800094E-02
9.591385126E-01, 1.259083510E-03,  6.961300224E-02
9.625808001E-01, 1.246261294E-03,  7.656600326E-02
9.660176635E-01, 1.235678908E-03,  8.320300281E-02
9.694492221E-01, 1.227186876E-03,  8.951199800E-02
9.728752375E-01, 1.220643171E-03,  9.549000114E-02
9.762956500E-01, 1.215919736E-03,  1.011800021E-01
9.797102809E-01, 1.213008771E-03,  1.065599993E-01
9.831191301E-01, 1.211944735E-03,  1.116700023E-01
9.865219593E-01, 1.212580944E-03,  1.164899990E-01
9.899187088E-01, 1.214745454E-03,  1.210099980E-01
9.933091998E-01, 1.218381105E-03,  1.252699941E-01
9.966932535E-01, 1.223542029E-03,  1.292700022E-01
1.000070810E+00, 1.230177935E-03,  1.330299973E-01
1.003441572E+00, 1.238091849E-03,  1.365099996E-01
1.006805539E+00, 1.247237902E-03,  1.397400051E-01
1.010162354E+00, 1.257691998E-03,  1.427499950E-01
1.013512015E+00, 1.269352972E-03,  1.455300003E-01
1.016854167E+00, 1.282054582E-03,  1.480399966E-01
1.020188808E+00, 1.295825350E-03,  1.503400058E-01
1.023515701E+00, 1.310686464E-03,  1.524499953E-01
1.026834726E+00, 1.326451078E-03,  1.543100029E-01
1.030145645E+00, 1.343115000E-03,  1.559399962E-01
1.033448219E+00, 1.360716647E-03,  1.574099958E-01
1.036742330E+00, 1.379073365E-03,  1.586499959E-01
1.040027857E+00, 1.398206223E-03,  1.596699953E-01
1.043304682E+00, 1.418075874E-03,  1.605399996E-01
1.046572447E+00, 1.438567997E-03,  1.611800045E-01
1.049831152E+00, 1.459739055E-03,  1.616500020E-01
1.053080559E+00, 1.481419196E-03,  1.619600058E-01
1.056320548E+00, 1.503622276E-03,  1.620499939E-01
1.059551001E+00, 1.526337699E-03,  1.620199978E-01
1.062771678E+00, 1.549433102E-03,  1.617899984E-01
1.065982580E+00, 1.572948648E-03,  1.614100039E-01
1.069183350E+00, 1.596753020E-03,  1.608899981E-01
1.072374105E+00, 1.620839932E-03,  1.601999998E-01
1.075554609E+00, 1.645157230E-03,  1.593900025E-01
1.078724742E+00, 1.669640653E-03,  1.584299952E-01
1.081884384E+00, 1.694270642E-03,  1.573500037E-01
1.085033417E+00, 1.718930784E-03,  1.561399996E-01
1.088171721E+00, 1.743585919E-03,  1.548099965E-01
1.091299176E+00, 1.768126851E-03,  1.533900052E-01
1.094415784E+00, 1.792571042E-03,  1.518500000E-01
1.097521424E+00, 1.816830714E-03,  1.502200067E-01
1.100615978E+00, 1.840901328E-03,  1.484899968E-01
1.103699327E+00, 1.864844002E-03,  1.466999948E-01
1.106771350E+00, 1.888413564E-03,  1.448300034E-01
1.109832168E+00, 1.911762054E-03,  1.428699940E-01
1.112881541E+00, 1.934760949E-03,  1.408800036E-01
1.115919352E+00, 1.957345288E-03,  1.388099939E-01
