x y sdr tke
 7.500000000E-01 5.207988620E-02 2.503604264E-06 1.725045440E-04
 7.500000000E-01 5.212226510E-02 2.431276471E-06 1.699222630E-04
 7.500000000E-01 5.216550082E-02 2.361108272E-06 1.673572988E-04
 7.500000000E-01 5.220961571E-02 2.293061925E-06 1.648100297E-04
 7.500000000E-01 5.225463957E-02 2.227094910E-06 1.622806012E-04
 7.500000000E-01 5.230057240E-02 2.163203817E-06 1.597706141E-04
 7.500000000E-01 5.234745145E-02 2.101328846E-06 1.572794572E-04
 7.500000000E-01 5.239526927E-02 2.041474318E-06 1.548089640E-04
 7.500000000E-01 5.244407058E-02 1.983572929E-06 1.523581450E-04
 7.500000000E-01 5.249387026E-02 1.927598532E-06 1.499274949E-04
 7.500000000E-01 5.254468322E-02 1.873522706E-06 1.475174649E-04
 7.500000000E-01 5.259652436E-02 1.821312708E-06 1.451282442E-04
 7.500000000E-01 5.264942348E-02 1.770924086E-06 1.427594398E-04
 7.500000000E-01 5.270341039E-02 1.722313300E-06 1.404108189E-04
 7.500000000E-01 5.275848508E-02 1.675461021E-06 1.380835456E-04
 7.500000000E-01 5.281468481E-02 1.630315523E-06 1.357772562E-04
 7.500000000E-01 5.287203193E-02 1.586840085E-06 1.334922272E-04
 7.500000000E-01 5.293054879E-02 1.544996053E-06 1.312284876E-04
 7.500000000E-01 5.299025029E-02 1.504750230E-06 1.289862994E-04
 7.500000000E-01 5.305117369E-02 1.466055437E-06 1.267650368E-04
 7.500000000E-01 5.311334133E-02 1.428871997E-06 1.245643216E-04
 7.500000000E-01 5.317676812E-02 1.393165803E-06 1.223840372E-04
 7.500000000E-01 5.324149132E-02 1.358891041E-06 1.202232379E-04
 7.500000000E-01 5.330753326E-02 1.326010306E-06 1.180813924E-04
 7.500000000E-01 5.337491632E-02 1.294483923E-06 1.159576932E-04
 7.500000000E-01 5.344367027E-02 1.264269486E-06 1.138510270E-04
 7.500000000E-01 5.351383239E-02 1.235323339E-06 1.117600623E-04
 7.500000000E-01 5.358542502E-02 1.207607966E-06 1.096837877E-04
 7.500000000E-01 5.365847051E-02 1.181084485E-06 1.076209883E-04
 7.500000000E-01 5.373300612E-02 1.155709356E-06 1.055699540E-04
 7.500000000E-01 5.380906165E-02 1.131441536E-06 1.035290552E-04
 7.500000000E-01 5.388666689E-02 1.108240667E-06 1.014965965E-04
 7.500000000E-01 5.396585166E-02 1.086066163E-06 9.947073704E-05
 7.500000000E-01 5.404664576E-02 1.064877097E-06 9.744950512E-05
 7.500000000E-01 5.412909389E-02 1.044628675E-06 9.543044871E-05
 7.500000000E-01 5.421321094E-02 1.025284632E-06 9.341178520E-05
 7.500000000E-01 5.429904908E-02 1.006799039E-06 9.139071335E-05
